IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter
PHENYLACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41466, 122-78-1, 204-574-5,Phenylacetaldehyde,,PERFUMING,O=CCc1ccccc1,46,400,3,,,,,,,1,,,,,,,
3-PHENYLBUTYRALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40632, 16251-77-7, 240-362-9,3-Phenylbutyraldehyde,,PERFUMING,CC(CC=O)c1ccccc1,40,400,3,,,,,,,,,1,,,,,
CINNAMALDEHYDE DIMETHYL ACETAL,ALDEHYDE,Procure ALDEHYDE,39314, 4364-06-1, 224-454-6,"(3,3-Dimethoxypropenyl)benzene",,PERFUMING,COC(OC)C=Cc1ccccc1,39,96,2,,,,,,1,,,1,,,,,
AR-ISOPROPYLPHENYLACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39190, 1335-44-0, 215-634-5,Ar-isopropylphenylacetaldehyde,,PERFUMING,CC(C)c1cccc(CC=O)c1,39,,1,,,,,,,,,1,,,,1,1
BENZALDEHYDE PROPYLENEGLYCOL ACETAL,ALDEHYDE,Procure ALDEHYDE,39216, 2568-25-4, 219-906-4,"4-Methyl-2-phenyl-1,3-dioxolane; Benzaldehyde Propylene Acetal",,PERFUMING,CC1COC(O1)c2ccccc2.CC3COC(O3)c4ccccc4,41,48,2,,,,,1,,1,,,,,,,
DECYLOXYACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39514, 72894-07-6, 276-961-7,(Decyloxy)acetaldehyde,,PERFUMING,CCCCCCCCCCOCC=O,44,,1,,,1,,,,,,,,,,,
ISOPROPYLPHENYL-PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39741, 34291-99-1, 251-920-6,2-(4-Isopropylphenyl)propionaldehyde,,PERFUMING,CC(C)c1ccc(cc1)C(C)C=O,48,,2,,,,,,,,,1,,,,,
CINNAMALDEHYDE/METHYL ANTHRANILATE SCHIFF BASE,ALDEHYDE,Procure ALDEHYDE,41369, 94386-48-8, 305-271-1,Methyl 2-(cinnamylideneamino)benzoate,,PERFUMING,COC(=O)c1ccccc1N=CC=Cc2ccccc2,26,400,2,,,,,,,1,,,,,,,
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",ALDEHYDE,Procure ALDEHYDE,74061, 68039-49-6, 268-264-1,"2,4-dimethylcyclohex-3-ene-1-carbaldehyde",,"MASKING, PERFUMING, TONIC",CC1C=C(C)CCC1C=O,27,8,3,,1,,,,,,,1,,,,,
METHYLOCTYL ACETALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40749, 19009-56-4, 242-745-6,2-Methyldecan-1-al,,PERFUMING,CCCCCCCCC(C)C=O,30,172,3,1,,,,,,,,,1,,,,
BENZALDEHYDE DIMETHYLACETAL,ALDEHYDE,Procure ALDEHYDE,39214, 1125-88-8, 214-413-0,"Dimethoxymethylbenzene; alpha,alpha-Dimethoxytoluene",,PERFUMING,COC(OC)c1ccccc1.COC(OC)c2ccccc2,38,1,2,,1,,,,,,,1,1,,,,
VERNALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41291, 66327-54-6, 266-314-7,1-Methyl-4-(4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,,PERFUMING,CC(C)CCCC1=CCC(C)(CC1)C=O,49,116,2,1,,,,,,,,1,1,1,,,
2-METHYLBUTYRALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40461, 96-17-3, 202-485-6,2-Methylbutyraldehyde,,PERFUMING,CCC(C)C=O,46,1,3,,,,,,1,1,,,,,,,
3-P-CUMENYL PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39409, 7775-00-0, 231-885-3,3-(p-Cumenyl)propionaldehyde; 3-(p-Isopropylphenyl)propanal,,PERFUMING,CC(C)c1ccc(CCC=O)cc1.CC(C)c2ccc(CCC=O)cc2,27,72,2,1,,,,,,,,,1,,,,
"2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE",ALDEHYDE,Procure ALDEHYDE,41185, 432-25-7, 207-081-3,"2,6,6-Trimethylcyclohexene-1-carbaldehyde",,PERFUMING,CC1=C(C=O)C(C)(C)CCC1,44,85,3,1,,,,,,1,,1,,,,,
ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,ALDEHYDE,Procure ALDEHYDE,39001, 28069-74-1, 248-817-3,(Z)-1-(1-Ethoxyethoxy)hex-3-ene,,PERFUMING,CCOC(C)OCC\C=C/CC,41,4,3,1,,,,,,,,1,1,,,,
2-METHYL-3-P-CRESYL-PROPIONALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40469, 41496-43-9, 255-410-4,2-Methyl-3-(p-tolyl)propionaldehyde,,PERFUMING,CC(Cc1ccc(C)cc1)C=O,25,168,2,1,,,,,,1,,,1,,,,
BENZALDEHYDE,ALDEHYDE,Procure ALDEHYDE,74599, 100-52-7, 202-860-4,Benzaldehyde,,"DENATURANT, FLAVOURING, MASKING, PERFUMING",O=Cc1ccccc1,49,4,3,,,,,,,1,,,,,,,1
O-METHOXYCINNAMALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40410, 1504-74-1, 216-131-3,2-Methoxycinnamaldehyde; 3-(2-Methoxyphenyl)-2-propenal,,PERFUMING,COc1ccccc1C=CC=O.COc2ccccc2C=CC=O,41,48,2,,,,,,1,1,,1,,,,,
METHYLCINNAMIC ALDEHYDE,ALDEHYDE,Procure ALDEHYDE,40465, 101-39-3, 202-938-8,alpha-Methylcinnamaldehyde; 2-Methyl-3-phenyl-2-propenal; 3-Phenyl-2-methylacrolein,,PERFUMING,CC(C=O)=Cc1ccccc1.CC(C=O)=Cc2ccccc2.CC(C=O)=Cc3ccccc3,36,32,3,1,,1,,,,,,,,,,,
4-ETHYLBENZALDEHYDE,ALDEHYDE,Procure ALDEHYDE,39829, 4748-78-1, 225-268-8,4-Ethylbenzaldehyde,,PERFUMING,CCc1ccc(C=O)cc1,46,,2,,,,,,,1,,,,,,,1
M-TOLUALDEHYDE,ALDEHYDE,Procure ALDEHYDE,41138, 620-23-5, 210-632-0,3-Methyl-benzaldehyde,,PERFUMING,Cc1cccc(C=O)c1,37,2,2,1,,,,,,1,,,,,,,